student_id,prior_failures,study_time,absences,parent_edu,family_support,health,internet,activities,travel_time,age,paid_support,at_risk,gpa_estimate,engagement_score,risk_score
1,0,1,0,1,2,1,0,0,4,18,1,1,3.9034963944944163,0.6,0.7867520983721314
2,1,1,0,4,3,1,1,0,2,18,0,0,4.0,0.8,0.49299586688558106
3,0,4,1,3,3,2,1,0,4,18,1,0,4.0,1.4,0.4482746858870391
4,0,1,0,1,1,2,1,0,4,18,1,1,4.0,0.4,0.6264623152144915
5,0,6,3,2,4,2,0,1,3,16,1,0,4.0,2.4,0.2935371311476808
6,0,3,9,2,2,1,0,1,3,16,0,0,4.0,1.4,0.19254557905419178
7,0,4,3,2,1,2,0,1,1,18,1,1,3.9983831498150026,1.4,0.7061265664976553
8,1,3,7,2,4,1,0,1,4,20,0,1,3.2229237088551677,1.8,0.827286448009031
9,0,5,4,4,1,3,1,1,1,19,1,1,4.0,1.6,0.5159218444703007
10,0,5,3,2,3,3,0,1,4,16,0,0,4.0,2.0,0.1710121294890562
11,0,4,1,3,3,2,0,1,1,17,1,0,3.688277481030524,1.8,0.11236925259898106
12,1,5,1,1,1,1,0,0,4,19,1,1,3.7681534214593215,1.2,0.9180784536508286
13,0,3,5,4,1,3,0,0,3,21,1,0,3.7128017884832047,0.8,0.3794162271642072
14,0,5,7,2,4,1,0,1,3,21,0,0,3.436577845081491,2.2,0.32059517493785256
15,0,3,1,3,2,1,0,1,1,17,1,0,4.0,1.4,0.22135791172043506
16,0,4,0,1,4,3,0,0,1,19,1,0,4.0,1.6,0.40216897380730887
17,0,3,4,1,4,2,0,1,1,18,1,0,4.0,1.8,0.08050926549334741
18,0,3,1,4,3,2,0,0,2,17,0,0,4.0,1.2,0.06964302805099598
19,0,2,0,1,3,3,1,1,1,18,1,0,3.600210631913619,1.4,0.4770296394062512
20,0,4,4,2,1,4,1,0,1,18,1,1,4.0,1.0,0.7982485219858262
21,0,6,2,2,3,1,1,0,1,20,1,0,3.813940226070935,1.8,0.3342407375555014
22,0,6,3,3,4,4,0,0,2,16,1,0,3.7366041253502913,2.0,0.23281476860100442
23,0,1,7,3,1,2,1,0,2,18,0,1,4.0,0.4,0.871074045854816
24,0,6,2,1,1,1,1,0,4,21,0,1,3.615315176592206,1.4,0.9462765273337705
25,0,3,2,4,3,3,1,0,3,20,1,1,3.9164536053477916,1.2,0.8229845584173685
26,0,5,1,2,2,2,1,0,1,19,1,0,3.6456404228731354,1.4,0.32531666990149405
27,0,2,1,1,3,2,1,0,1,16,0,0,3.900155314015011,1.0,0.4608673949594904
28,0,4,4,4,1,2,1,1,3,19,0,1,3.3023402029353845,1.4,0.911902575871929
